"To upgrade","Para atualizar"
", run the following commands:",", execute os seguintes comandos:"
"Payments by Multibanco, MB WAY, Payshop, Credit Card, and Cofidis Pay","Pagamentos por Multibanco, MB WAY, Payshop, Cartão de Crédito, e Cofidis Pay"
"Configure","Configurar"
"Close","Fechar"
"An Error occurred.","Ocurreu um Erro."
"Request New Account","Requerer Nova Conta"
"Request New Multibanco Dynamic Reference Account","Requerer Nova Conta Multibanco Dinâmica"
"Reset Backoffice Key","Limpar Chave Backoffice"
"Entity","Entidade"
"Reference","Referência"
"Deadline","Validade"
"Transaction ID", ID de Transação"
"Phone Number","Número de Telemóvel"
"Total to Pay","Total a Pagar"
"Payment URL","URL de Pagamento"
"Failed to get corresponding Payment Gateway Methods.","Ocurreu uma falha na obtenção dos Métodos de Pagamentos da Gateway."
"none","nenhum"
"Please select a Ifthenpay Gateway key to view this field.","Por favor selecione uma chave Ifthenpay Gateway para visualizar este campo."
"Request Gateway Method","Requerer Método de Gateway"
"Failed to get corresponding Min Max.","Ocurreu uma falha na obtenção dos Mínimos e Máximos."
"Failed to get corresponding Sub Entities.","Ocurreu uma falha na obtenção das Sub Entidades."
"Accounts refreshed with success.","Contas atualizadas com sucesso."
"Failed to refresh accounts.","Falha ao atualizar as contas."
"Account request sent with success.","Pedido de conta enviado com sucesso."
"Gateway payment method request sent with success.","Pedido de Método de pagamento de Gateway enviado com sucesso."
"A refund token was sent to your user email account, use it to fill this field and complete the Refund process.","Um token de devolução foi enviado para o seu e-mail de usuário. Utilize-o para preencher este campo e concluir o processo de devolução."
"Failed to send refund token.","Falha ao enviar o token de devolução."
"Backoffice Key reset with success.","A Chave Backoffice foi limpa com sucesso."
"Failed to reset Backoffice Key.","Falha ao limpar a Chave Backoffice."
"Refund token is not valid.","Token de devolução não é válido."
"Failed to verify refund token.","Falha na verificação do token de devolução."
"Payment by Credit Card made with success.","Pagamento feito com sucesso via cartão de crédito."
"Payment by Credit Card canceled.","Pagamento por Cartão de Crédito cancelado."
"Error, payment by Credit Card canceled.","Erro, pagamento por Cartão de Crédito cancelado."
"Payment canceled","Pagamento cancelado"
"Sent invoice email to customer #","Enviou email da fatura para o cliente#"
"MB WAY notification sent successfully.","Notificação MB WAY enviada com sucesso."
"resendMbwayNotificationError",Erro ao enviar notificação MB WAY
"Error: Payment by Cofidis failure.","Erro: Falha no Pagamento por Cofidis Pay."
"Payment by Cofidis Pay made with success.","Pagamento por Cofidis Pay executado com sucesso."
"Payment by Cofidis Pay canceled.","Pagamento por Cofidis Pay cancelado."
"Payment by Cofidis Pay Not Approved.","Pagamento por Cofidis Pay não aprovado."
"Payment by Cofidis Pay canceled due to technical error from Cofidis.","Pagamento por Cofidis Pay cancelado devido a erro técnico em Cofidis Pay."
"Error, payment by Cofidis Pay canceled.","Error, pagamento por Cofidis Pay cancelado."
"Payment concluded with success, awaiting verification.","Pagamento concluído com sucesso, aguardando verificação."
"Payment by Ifthenpay Gateway canceled.","Pagamento por Ifthenpay Gateway cancelado."
"Error, payment by Ifthenpay Gateway failed.","Erro, falha no pagamento por Ifthenpay Gateway."
"An error ocurred while redirecting to store, please contact the store admin.","Ocurreu um erro ao ser redirecionado para a loja, por favor contacte o administrador de loja."
"Order canceled by cronjob because payment was overdue","Pedido cancelado pelo cronjob devido ao atraso no pagamento."
"Error: Refund request failed.","Erro: Falha no pedido de devolução."
"Payshop does not allow payments of 0€","Payshop não permite pagamentos de 0€"
"Pix Name field is required.","O campo Nome do Pix é obrigatório."
"Pix Name field is invalid. Must not exceed 150 characters.","O campo Nome do Pix está inválido. Não deve exceder 150 caracteres."
"Pix CPF field is required.", "O campo CPF do Pix é obrigatório."
"Pix CPF field is invalid. Must be comprised of 11 digits with either of the following patterns: 111.111.111-11 or 11111111111.", "O campo CPF do Pix está inválido. Deve conter 11 dígitos com um dos seguintes formatos: 111.111.111-11 ou 11111111111."
"Pix Email field is required.","O campo Email do Pix é obrigatório."
"Pix Email field is invalid. Must be a valid email address.","O campo Email do Pix está inválido. Deve ser um endereço de email válido."
"Pix Email field is invalid. Must not exceed 250 characters.","O campo Email do Pix está inválido. Não deve exceder 250 caracteres."
"Pix Phone Number field is invalid. Must not exceed 20 characters.","O campo Telefone do Pix está inválido. Não deve exceder 20 caracteres."
"Pix Address field is invalid. Must not exceed 250 characters.","O campo Endereço do Pix está inválido. Não deve exceder 250 caracteres."
"Pix Street Number field is invalid. Must not exceed 20 characters.","O campo Número da Rua do Pix está inválido. Não deve exceder 20 caracteres."
"Pix City field is invalid. Must not exceed 50 characters.","O campo Cidade do Pix está inválido. Não deve exceder 50 caracteres."
"Pix Zip Code field is invalid. Must not exceed 20 characters.","O campo Código Postal do Pix está inválido. Não deve exceder 20 caracteres."
"Pix State field is invalid. Must not exceed 50 characters.","O campo Estado do Pix está inválido. Não deve exceder 50 caracteres."
"Error: Unable to refund due to lack of funds.","Erro: Incapaz de prosseguir com devolução devido à falta de fundos."
.,.
"Select a Credit Card key","Selecione uma chave de Cartão de Crédito"
"No Credit Card keys found","Chaves de Cartão de Crédito não encontradas"
"Select a Cofidis Pay key","Selecione uma chave Cofidis Pay"
"No Cofidis Pay keys found","Chaves de Cofidis Pay não encontradas"
"Select a Ifthenpay Gateway key","Selecione uma chave Ifthenpay Gateway"
"No Ifthenpay Gateway keys found","Não foram encontradas Chaves Ifthenpay Gateway"
"Select a MB WAY key","Selecione uma chave MB WAY"
"No MB WAY keys found","Chaves de MB WAY não encontradas"
"No Deadline","Sem Validade"
"Multibanco Dynamic References","Referências Dinâmicas de Multibanco"
"Select a Multibanco Entity","Selecione uma Entidade Multibanco"
